Entity,Code,Year,9th,8th,7th,6th,4th,3rd,2nd,5th,1st
Norway,NOR,2004,175.3016807,174.0808791,172.7432107,172.4995576,172.8143894,170.8564548,170.13397,172.9433871,170.1690964
Norway,NOR,2007,202.0649535,200.7496907,199.7371286,198.9552934,199.1294622,197.1594573,194.5424913,199.1755664,191.9701126
Norway,NOR,2010,211.1826541,209.753261,208.6150471,207.8365926,207.5424227,205.818801,203.6494707,207.6158732,200.7546889
Poland,POL,1992,100,100,100,100,100,100,100,100,100
Poland,POL,1995,80.91091553,79.79416145,79.00693068,78.17372173,75.83555684,74.33468631,70.39451182,77.35283806,63.26594842
Poland,POL,1999,96.27445778,95.38753769,95.05038642,94.75099474,93.96016419,93.10015097,90.10259867,95.1891758,85.71935757
Poland,POL,2004,101.3561203,98.22216329,96.37434163,94.31240951,91.06004802,89.19303036,85.31934046,93.50454156,79.26398092
Poland,POL,2007,120.8721732,118.0317858,115.3762172,113.491053,110.0064809,108.6153279,105.7909217,112.2050094,100.7881287
Poland,POL,2010,143.9619692,139.3504095,136.2728145,133.2151451,129.2846199,126.6170918,122.5531138,132.1810025,116.9341912
Slovakia,SVK,1992,100,100,100,100,100,100,100,100,100
Slovakia,SVK,1996,110.730983,106.7230925,103.3658462,100.8832823,96.58725322,94.42161154,89.97800727,98.91195707,82.45267312
Slovakia,SVK,2004,124.3787489,117.0127787,112.5380633,108.9286816,102.0762812,98.57892144,91.95421977,105.141804,84.9935095
Slovakia,SVK,2007,157.6242883,150.2614205,145.3365929,141.2643368,132.9508479,128.2951354,122.5019209,137.9780404,116.569078
Slovakia,SVK,2010,176.9266452,166.8923506,159.7070482,153.5296329,143.7093432,138.8467361,132.5372483,148.7907159,122.4258912
Slovenia,SVN,1997,100,100,100,100,100,100,100,100,100
Slovenia,SVN,1999,100.7643374,101.0633613,100.6105396,99.9976567,101.1344062,101.1415633,99.30848514,100.7120803,98.88128431
Slovenia,SVN,2004,115.6146872,114.5318473,112.5575627,110.6228212,112.0958688,112.3679352,112.9177568,111.5100851,113.2849255
Slovenia,SVN,2007,123.2633999,124.1866296,122.4795351,121.3206983,121.4678591,123.0721138,120.3934736,121.4980766,118.3760119
Slovenia,SVN,2010,134.26728,133.818653,132.0862249,127.9078672,127.0350877,126.5009702,123.8459637,128.6578665,116.2896981
Spain,ESP,1980,100,100,100,100,100,100,100,100,100
Spain,ESP,1985,95.9022667,94.31983904,94.12987165,94.77533687,96.88395538,97.67353362,99.43671524,95.25174785,102.9070195
Spain,ESP,1990,120.3684263,122.2071533,123.364406,123.7269476,123.6513709,125.3704588,129.1843235,122.6971569,132.7954235
Spain,ESP,1995,150.704825,149.299441,145.9981472,142.0202661,135.2080581,136.2390896,132.3206357,135.8955355,126.5054218
Spain,ESP,2000,177.468993,177.0468955,178.4145206,175.0827825,167.8732256,165.5121753,167.1403663,172.3165427,165.5523061
Spain,ESP,2004,165.5664855,170.5282042,171.7474159,171.0365162,165.3360937,162.8936353,162.0912437,168.218178,155.6452364
Spain,ESP,2007,179.3836926,183.5358905,186.9638976,186.987119,183.2413248,183.8006976,183.85594,186.9474647,179.4777809
Spain,ESP,2010,171.7027345,172.618887,172.6604211,171.6310071,161.6585316,159.321567,155.631289,166.1380819,140.8775809
Sweden,SWE,1981,100,100,100,100,100,100,100,100,100
Sweden,SWE,1987,107.3838272,108.1992687,107.0960666,107.5714926,106.8552154,105.8695866,102.8558439,107.7231854,100.2205569
Sweden,SWE,1992,131.9013438,128.7241986,127.3712787,125.7066648,124.8054955,122.5444021,118.74138,124.9343218,116.6187258
Sweden,SWE,1995,121.1510652,117.9203436,115.9673479,115.8671216,117.5823396,118.4278712,118.349168,116.999929,113.9252059
